1011101,21,18,14,6,8,14,17,23,10,7,7
1011102,1,1,0,0,0,1,1,1,0,1,1
1011103,27,20,14,9,15,15,17,22,10,10,10
1011104,11,5,4,2,7,5,6,6,4,4,4
1011105,5,2,3,1,2,3,4,3,1,2,2
1011201,11,5,10,4,5,9,10,8,3,4,4
1011202,2,1,1,1,1,1,2,2,1,1,1
1011203,5,2,4,2,3,3,4,4,2,2,2
1011204,48,28,34,17,15,34,40,44,12,12,12
1011301,13,11,10,5,6,11,13,15,6,6,6
1011302,24,20,16,9,10,18,21,28,10,9,9
1011303,47,34,38,19,11,37,43,47,12,9,9
1011304,88,57,81,42,19,70,84,85,16,11,11
1011305,61,38,56,27,12,48,61,58,13,9,9
1011306,49,26,41,18,11,37,47,41,10,9,9
1011401,27,20,16,11,10,18,20,27,11,8,8
1011402,19,19,13,10,7,15,16,23,8,7,7
1022101,10,6,4,3,5,4,5,6,4,4,4
1022102,20,13,5,6,16,7,8,13,10,9,9
1022103,0,0,0,0,0,0,1,0,0,0,0
1022104,73,37,31,19,38,34,40,46,24,27,26
1022105,22,9,8,4,11,8,10,13,8,7,7
1022106,53,40,36,23,19,38,43,54,18,18,18
1022201,34,18,14,10,17,16,18,22,12,13,12
1022202,8,2,2,1,4,2,2,3,2,2,2
1022203,41,19,13,10,22,14,16,24,13,12,12
1022204,31,22,19,13,11,21,23,31,10,9,9
1022205,20,13,10,6,7,11,12,13,6,4,5
1022206,15,9,7,5,6,8,10,10,4,4,4
1022207,37,31,27,13,11,27,31,38,13,10,10
1033101,113,56,39,31,55,42,49,60,30,26,25
1033102,50,22,20,12,23,21,24,26,14,14,14
1033201,69,32,29,23,30,29,33,39,15,16,16
1033202,63,43,32,26,26,33,38,52,17,15,15
1033203,61,28,20,16,31,21,26,32,18,16,16
1044101,103,62,58,38,43,60,69,79,28,29,29
1044102,119,100,76,71,37,76,86,114,30,27,27
1044103,28,14,13,9,15,14,16,19,9,10,9
1044201,108,47,31,27,56,34,39,51,28,26,26
1044202,42,23,16,11,23,18,21,26,15,15,15
1044203,85,59,22,32,45,28,31,60,30,23,23
2010101,20,11,6,3,12,7,8,13,9,7,7
2010102,76,34,22,17,33,26,29,45,25,18,18
2010103,89,40,28,25,44,30,35,50,24,22,21
2010104,25,11,5,6,11,7,8,14,10,7,7
2020201,1,0,0,0,1,0,0,1,0,0,0
2020202,19,10,9,6,11,10,11,13,7,7,7
2020203,34,20,18,9,17,20,23,27,14,15,15
2020204,38,27,16,12,21,19,21,29,15,13,13
2020205,52,32,16,11,28,21,23,34,19,18,18
2020206,61,38,19,16,31,24,28,40,21,22,22
2030301,54,12,5,3,37,7,8,10,16,15,15
2030302,63,21,13,9,38,16,17,23,19,16,16
2030401,54,25,12,10,31,15,17,24,19,17,17
2030402,45,11,7,4,29,9,10,13,11,13,12
2040501,58,40,49,31,11,44,51,55,10,7,7
2040502,41,28,38,21,8,33,38,42,8,7,7
2040503,39,41,31,31,9,28,31,44,8,6,6
2040701,90,70,71,54,19,65,76,96,19,13,13
2040702,38,27,33,18,9,31,36,39,10,7,7
2040703,0,1,0,0,0,0,0,0,0,0,0
2050601,15,12,11,7,4,11,13,16,5,4,3
2050602,25,28,16,15,9,18,20,32,10,8,8
2050801,24,21,16,12,7,18,20,27,8,7,7
2050802,20,18,15,9,7,15,17,22,6,6,6
2050803,15,10,11,8,4,11,12,17,3,3,3
2050804,14,13,9,8,5,8,10,13,3,3,3
3010101,17,13,16,8,3,15,18,16,4,3,3
3010102,86,66,77,45,18,74,87,95,18,16,16
3010104,0,0,0,0,0,0,0,0,0,0,0
3020203,16,7,15,7,3,13,16,12,2,2,2
3020209,67,46,66,30,16,64,74,66,13,17,17
3020210,53,32,50,25,12,47,57,47,9,12,12
3020307,89,48,86,39,19,78,95,72,12,18,18
3030405,54,32,51,28,11,46,54,51,9,10,10
3030406,50,24,56,20,10,50,58,42,7,11,11
3030711,42,32,40,22,9,38,45,39,7,9,9
3030715,39,23,40,18,9,37,44,35,6,10,10
3030716,11,5,12,5,2,10,12,8,1,2,2
3040508,22,10,22,10,5,19,23,16,2,5,5
3040512,67,35,63,28,13,58,71,55,10,13,13
3040513,19,18,17,13,4,16,18,21,4,4,4
3040614,201,154,161,115,40,152,183,209,40,31,30
3040818,178,131,152,90,35,143,170,194,40,33,33
3050919,37,23,29,17,7,28,34,37,7,6,6
3050920,45,38,38,29,9,34,41,49,10,7,7
3050923,24,18,20,12,6,21,25,25,6,6,6
3050924,14,11,11,8,4,11,12,15,4,4,4
3050925,35,25,29,18,7,27,36,36,7,5,5
3051017,16,9,15,7,3,15,17,15,4,4,4
3051021,65,40,54,31,10,50,60,61,11,9,9
3051022,36,25,30,22,6,28,33,36,6,5,5
3061126,28,31,21,17,8,23,25,36,10,8,8
3061131,13,10,9,5,5,10,11,14,5,5,5
3061227,43,37,32,25,10,33,38,51,13,11,11
3061228,64,50,48,35,14,47,54,70,17,11,11
3061332,22,21,11,10,8,15,16,27,9,9,9
3061429,125,96,106,68,23,101,120,129,24,20,20
3061430,29,14,28,12,4,24,31,24,4,4,4
3061434,14,13,11,7,4,12,14,20,6,4,4
3061435,15,13,12,7,4,12,14,20,5,4,4
3061441,7,6,5,5,1,4,5,7,2,1,1
3071536,12,12,8,6,5,9,10,15,5,4,4
3071537,23,17,17,7,9,20,23,23,9,9,9
3071633,15,15,11,8,4,11,13,19,5,4,4
3071638,36,19,26,12,11,27,33,29,8,8,7
3071639,24,22,18,13,7,20,23,31,8,8,8
4010101,79,62,48,43,27,48,54,77,22,19,18
4010102,6,4,5,3,2,5,5,5,1,1,1
4010103,63,39,41,30,18,37,47,53,15,10,10
4020204,1,0,0,0,0,0,0,0,0,0,0
4020205,10,5,10,3,3,10,11,9,2,3,3
4020206,40,32,30,18,10,29,33,43,10,8,8
4020207,21,17,16,10,6,15,17,20,6,4,4
4020208,24,14,23,9,6,21,25,19,5,6,6
4020209,19,10,21,6,5,19,22,15,3,4,4
4020310,4,3,2,2,1,2,3,3,1,1,1
4020311,132,92,102,54,43,100,116,132,40,35,34
4020312,46,43,33,24,14,34,38,51,14,12,12
4020313,48,35,32,18,18,33,39,45,18,12,12
4020314,0,0,0,0,0,0,0,0,0,0,0
4030415,20,29,8,16,10,10,11,26,8,6,6
4030416,56,24,19,11,30,23,24,35,21,19,18
4030417,64,41,33,20,27,39,43,58,25,22,22
4030518,52,31,24,18,24,26,31,41,19,17,17
4030519,29,14,15,7,10,16,19,21,8,9,9
4030620,60,46,31,26,21,33,38,59,20,15,15
4030621,13,5,6,3,7,6,6,8,4,5,4
4030622,66,47,33,22,34,39,43,60,27,23,24
4030623,31,15,16,9,15,17,21,24,10,10,10
4030724,53,34,31,18,21,33,37,50,18,14,14
4030725,61,32,36,14,29,40,46,50,24,24,24
4030726,39,28,21,14,17,24,27,37,15,12,12
4030827,72,42,28,16,37,33,36,51,31,24,24
4030828,55,38,29,15,22,34,36,49,28,23,23
4030929,38,28,19,11,18,21,24,33,18,13,13
4030930,39,22,22,8,22,24,26,29,21,15,15
4030931,28,15,14,5,14,15,17,22,12,8,8
4031032,107,77,67,36,43,72,82,104,43,32,32
4041133,0,0,0,0,0,0,0,0,0,0,0
4041134,47,38,33,18,17,33,37,43,15,12,12
4041135,30,18,25,12,10,23,27,25,7,6,6
4041136,31,23,25,13,9,24,26,28,9,7,7
4041137,64,43,43,28,23,44,50,61,19,15,15
4041238,48,42,37,25,13,36,42,51,13,11,12
4041239,0,0,0,0,0,0,0,0,0,0,0
4041240,15,10,15,6,5,14,17,14,3,4,4
4041241,64,48,46,30,16,47,53,71,19,17,17
4041342,44,30,25,16,15,29,32,46,15,11,11
4041343,24,21,17,10,9,18,20,30,9,9,8
4041344,88,56,59,32,27,61,69,86,24,22,22
4051445,40,28,23,17,16,25,29,38,17,13,13
4051446,81,53,48,25,31,50,58,72,30,24,24
4051447,37,36,22,18,17,23,27,39,14,11,11
4051448,71,47,40,23,30,41,45,66,30,21,21
4051549,24,18,15,12,8,16,17,25,7,7,7
4051550,29,19,15,10,12,18,21,27,12,10,10
4051551,26,13,14,8,10,15,18,23,9,8,8
4051652,70,48,39,24,28,44,50,67,30,21,21
4051653,51,29,32,15,19,33,39,48,21,16,16
4051654,23,21,14,13,7,16,17,27,9,7,8
4051655,41,26,23,14,16,26,30,38,14,14,14
4051656,43,27,29,14,15,30,34,38,15,14,14
4061757,1,0,1,0,0,1,1,0,0,0,0
5010101,70,73,55,50,19,52,60,80,16,16,16
5010102,51,33,42,25,12,41,47,46,9,11,11
5010103,56,34,49,26,13,47,57,48,10,13,13
5010204,26,31,14,19,6,16,18,34,8,4,4
5010205,7,1,4,1,2,4,5,3,1,2,2
5010206,95,47,72,39,23,69,84,73,16,18,17
5010207,91,48,60,40,24,58,71,69,14,16,16
5010208,48,31,29,22,14,30,35,43,12,12,12
5010209,49,25,43,19,14,40,48,38,8,12,12
5010310,21,18,12,12,8,13,14,21,6,6,6
5010311,48,56,24,41,14,23,25,50,12,7,7
5010312,29,17,13,10,14,15,16,18,7,9,9
5010313,28,20,17,10,11,17,22,20,8,10,9
5010314,68,41,43,29,24,44,50,62,17,18,17
5010339,3,1,2,1,1,2,2,2,1,1,1
5020415,14,8,15,6,4,14,15,12,2,5,5
5020416,17,8,15,8,4,13,16,13,2,4,3
5020417,47,23,40,19,14,37,45,33,6,10,10
5020418,31,16,26,13,7,26,31,26,5,8,8
